ts,model,norm,dataset,crop_min,crop_max,noise,shift,mixup,cv_roc_auc_mean,cv_pr_auc_mean,test_roc_auc,test_pr_auc,test_recall_pos,test_f1_pos
20251202-111209,xgb,snv,covid_saliva,900.0,1800.0,0.01,4.0,0.6,0.806,0.8631746031746032,,,,
20251202-111214,logreg,snv,covid_saliva,900.0,1800.0,0.02,0.0,0.0,0.794,0.8214841269841269,,,,
20251202-111214,rf,snv,covid_saliva,900.0,1800.0,0.02,0.0,0.0,0.784,0.8346984126984127,,,,
20251202-111214,svm_rbf,snv,covid_saliva,900.0,1800.0,0.02,0.0,0.0,0.8160000000000001,0.852,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-111214,xgb,snv,covid_saliva,900.0,1800.0,0.02,0.0,0.0,0.756,0.8239126984126983,,,,
20251202-111218,logreg,snv,covid_saliva,900.0,1800.0,0.02,0.0,0.2,0.8300000000000001,0.8413571428571428,,,,
20251202-111218,rf,snv,covid_saliva,900.0,1800.0,0.02,0.0,0.2,0.826,0.8714444444444445,,,,
20251202-111218,svm_rbf,snv,covid_saliva,900.0,1800.0,0.02,0.0,0.2,0.836,0.8597777777777778,0.7,0.8648018648018647,0.625,0.6666666666666666
20251202-111218,xgb,snv,covid_saliva,900.0,1800.0,0.02,0.0,0.2,0.752,0.8321428571428571,,,,
20251202-111224,logreg,snv,covid_saliva,900.0,1800.0,0.02,0.0,0.4,0.778,0.8132619047619046,,,,
20251202-111224,rf,snv,covid_saliva,900.0,1800.0,0.02,0.0,0.4,0.776,0.8375555555555556,,,,
